dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,baseline,0,2048,256,41.54844294646802,0.06801190000260249,4.264970588230747,221.5338902715645,730.619140625,48.0
wikitext,baseline,1,2048,256,41.54844294646802,0.06889039999805391,4.508787843138527,210.07174196193768,730.62109375,48.0
wikitext,baseline,2,2048,256,41.54844294646802,0.0688808999984758,4.224836862761317,223.34392442967837,730.62109375,48.0
wikitext,adaptive_pyramid_0.3,0,2048,256,44.64553111219126,0.10555900000326801,4.389484705861119,209.00047482332002,1879.8095703125,9.609375
wikitext,adaptive_pyramid_0.3,1,2048,256,44.64553111219126,0.10656539999763481,4.319752156865719,211.90260228012207,1879.8095703125,9.609375
wikitext,adaptive_pyramid_0.3,2,2048,256,44.64553111219126,0.1047787999996217,4.446609803919415,206.67423772542057,1879.8095703125,9.609375
pg19,baseline,0,2048,256,45.63315809592332,0.06546440000238363,4.299512941175707,220.3401121768017,730.62109375,48.0
pg19,baseline,1,2048,256,45.63315809592332,0.06896929999493295,4.383370588252814,215.7190421266673,730.62109375,48.0
pg19,baseline,2,2048,256,45.63315809592332,0.06897480000043288,4.358718039207709,216.86683503807944,730.62109375,48.0
pg19,adaptive_pyramid_0.3,0,2048,256,45.63009009751633,0.10938159999932395,4.4378031372473865,206.28169667383236,1879.8095703125,9.609375
pg19,adaptive_pyramid_0.3,1,2048,256,45.63009009751633,0.10612560000299709,4.442723529406495,206.61488865245886,1879.8095703125,9.609375
pg19,adaptive_pyramid_0.3,2,2048,256,45.63009009751633,0.1067754999967292,4.346474117654211,210.6776710639361,1879.8095703125,9.609375
wikitext,mix_b_top128_split8,0,2048,256,54.76207406296231,0.08169070000440115,4.365929803901178,214.22543947191673,1493.9873046875,3.09375
wikitext,mix_b_top128_split8,1,2048,256,54.76207406296231,0.07515160000184551,4.44301882354707,211.89923462878383,1493.9892578125,3.09375
wikitext,mix_b_top128_split8,2,2048,256,54.76207406296231,0.07608349999645725,4.2967247058792655,218.47695447985373,1493.9892578125,3.09375
pg19,mix_b_top128_split8,0,2048,256,46.05093901444249,0.08353870000428287,4.3921274509664405,212.70740633881843,1493.9892578125,3.09375
pg19,mix_b_top128_split8,1,2048,256,46.05093901444249,0.07313679999788292,4.291995294111342,219.25399513394592,1493.9892578125,3.09375
pg19,mix_b_top128_split8,2,2048,256,46.05093901444249,0.07416649999504443,4.357440392178593,215.97656249330223,1493.9892578125,3.09375
wikitext,mix_b_top256_split8,0,2048,256,49.7104272067776,0.13238620000629453,4.4731149019379,201.09494627183534,1499.9873046875,6.09375
wikitext,mix_b_top256_split8,1,2048,256,49.7104272067776,0.07906459999503568,4.32571333335991,216.55980370850833,1499.9892578125,6.09375
wikitext,mix_b_top256_split8,2,2048,256,49.7104272067776,0.07167469999694731,4.449396078445145,212.2243373729483,1499.9892578125,6.09375
pg19,mix_b_top256_split8,0,2048,256,45.75852376130122,0.0863242999985232,4.317357254901663,215.62426932038497,1499.9892578125,6.09375
pg19,mix_b_top256_split8,1,2048,256,45.75852376130122,0.07525420000456506,4.369310588220947,215.229432893821,1499.9892578125,6.09375
pg19,mix_b_top256_split8,2,2048,256,45.75852376130122,0.07739950000541285,4.361981568617207,215.17942938399284,1499.9892578125,6.09375
wikitext,mix_b_top384_split8,0,2048,256,46.73188209870492,0.07732189999660477,4.3491317647196555,215.78782998782802,1505.9873046875,9.09375
wikitext,mix_b_top384_split8,1,2048,256,46.73188209870492,0.07452870000270195,4.516558039205276,208.76639448203514,1505.9892578125,9.09375
wikitext,mix_b_top384_split8,2,2048,256,46.73188209870492,0.0753192999982275,4.371595686254795,215.1122760050682,1505.9892578125,9.09375
pg19,mix_b_top384_split8,0,2048,256,45.36765057996436,0.08248730000195792,4.375006274523342,213.66916784693348,1505.9892578125,9.09375
pg19,mix_b_top384_split8,1,2048,256,45.36765057996436,0.07540739999967627,4.31715372550945,217.63496087926728,1505.9892578125,9.09375
pg19,mix_b_top384_split8,2,2048,256,45.36765057996436,0.07737320000160253,4.466849019580895,210.45367811875204,1505.9892578125,9.09375
wikitext,mix_b_top128_split12,0,2048,256,54.76207406296231,0.07738980000431184,4.44843333332078,211.26639099134138,1493.9873046875,3.09375
wikitext,mix_b_top128_split12,1,2048,256,54.76207406296231,0.072518900007708,4.511792941176442,209.3168739394753,1493.9892578125,3.09375
wikitext,mix_b_top128_split12,2,2048,256,54.76207406296231,0.07638689999294002,4.5217682352956095,208.22525547969232,1493.9892578125,3.09375
pg19,mix_b_top128_split12,0,2048,256,46.05093901444249,0.0792512999905739,4.701420784341263,200.29518502931316,1493.9892578125,3.09375
pg19,mix_b_top128_split12,1,2048,256,46.05093901444249,0.07394689999637194,4.8193478431808305,196.48769042883097,1493.9892578125,3.09375
pg19,mix_b_top128_split12,2,2048,256,46.05093901444249,0.07558869999775197,4.305876862753055,218.1346031948776,1493.9892578125,3.09375
wikitext,mix_b_top256_split12,0,2048,256,49.7104272067776,0.08760470000561327,4.674074509781421,200.0791406788677,1499.9873046875,6.09375
wikitext,mix_b_top256_split12,1,2048,256,49.7104272067776,0.07333420000213664,4.442021960744123,212.26320836977203,1499.9892578125,6.09375
wikitext,mix_b_top256_split12,2,2048,256,49.7104272067776,0.08257169999706093,4.537844705890737,206.49789174538833,1499.9892578125,6.09375
pg19,mix_b_top256_split12,0,2048,256,45.75852376130122,0.08133149999775924,4.403266274511777,212.59555588951923,1499.9892578125,6.09375
pg19,mix_b_top256_split12,1,2048,256,45.75852376130122,0.0763985999947181,4.654915294126041,202.62750890107546,1499.9892578125,6.09375
pg19,mix_b_top256_split12,2,2048,256,45.75852376130122,0.0725079999974696,4.543203137262596,207.95681776688673,1499.9892578125,6.09375
wikitext,mix_b_top384_split12,0,2048,256,46.73188209870492,0.07736759999534115,4.483265098065649,209.73288387103608,1505.9873046875,9.09375
wikitext,mix_b_top384_split12,1,2048,256,46.73188209870492,0.07589069999812637,4.389754509811254,214.17609843265836,1505.9892578125,9.09375
wikitext,mix_b_top384_split12,2,2048,256,46.73188209870492,0.07408719998784363,4.512005882376494,209.03953925830783,1505.9892578125,9.09375
pg19,mix_b_top384_split12,0,2048,256,45.36765057996436,0.08967419998953119,4.425927058864367,210.13135179469546,1505.9892578125,9.09375
pg19,mix_b_top384_split12,1,2048,256,45.36765057996436,0.07531420000304934,4.526197254901989,208.2156528551885,1505.9892578125,9.09375
pg19,mix_b_top384_split12,2,2048,256,45.36765057996436,0.07724640000378713,4.221925098054093,221.8683691351615,1505.9892578125,9.09375
wikitext,mix_b_top128_split16,0,2048,256,54.76207406296231,0.08212479999929201,4.431471372520844,211.19498412050237,1493.9873046875,3.09375
wikitext,mix_b_top128_split16,1,2048,256,54.76207406296231,0.07850269999471493,4.427163921554536,212.02066042107003,1493.9892578125,3.09375
wikitext,mix_b_top128_split16,2,2048,256,54.76207406296231,0.07496430000173859,4.371563921563839,215.1779281911653,1493.9892578125,3.09375
