dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,baseline,0,2048,2048,41.54844294646802,0.06827230000635609,4.312213580844922,230.23204140904718,777.0009765625,48.0
wikitext,baseline,1,2048,2048,41.54844294646802,0.06554549999418668,4.309790473863059,230.4311675438549,777.0166015625,48.0
wikitext,baseline,2,2048,2048,41.54844294646802,0.06706960000155959,4.270487933561652,232.49587592270373,777.0166015625,48.0
pg19,baseline,0,2048,2048,45.63315809592332,0.06868150000809692,4.320561504640385,229.78005885829668,777.0166015625,48.0
pg19,baseline,1,2048,2048,45.63315809592332,0.06580039999971632,4.336064435762801,229.03859829346186,777.0166015625,48.0
pg19,baseline,2,2048,2048,45.63315809592332,0.07037660000787582,4.391915046411002,226.03292992939095,777.0166015625,48.0
wikitext,mix_b_top384_split8,0,2048,2048,46.73188209870492,0.07530249998671934,4.471332877384145,221.93033903595273,1505.9873046875,9.09375
wikitext,mix_b_top384_split8,1,2048,2048,46.73188209870492,0.07489540000096895,4.478722325356759,221.57691791685394,1506.0029296875,9.09375
wikitext,mix_b_top384_split8,2,2048,2048,46.73188209870492,0.07607599999755621,4.349124474843585,228.09452263741895,1506.0029296875,9.09375
pg19,mix_b_top384_split8,0,2048,2048,45.36765057996436,0.0742197999934433,4.388338104542447,226.1197479177575,1506.0029296875,9.09375
pg19,mix_b_top384_split8,1,2048,2048,45.36765057996436,0.07607779999671038,4.381065510503589,226.4454970843598,1506.0029296875,9.09375
pg19,mix_b_top384_split8,2,2048,2048,45.36765057996436,0.07638299999234732,4.412313971665524,224.8476478780735,1506.0029296875,9.09375
