dataset,method,run_id,input_length,generated_tokens,ppl,ttft_sec,tpot_ms,throughput_tok_s,peak_memory_mb,kv_cache_memory_mb
wikitext,baseline,0,2048,256,41.54844294646802,0.06712949999928242,4.366781176455939,216.82811467951367,730.619140625,48.0
wikitext,baseline,1,2048,256,41.54844294646802,0.0682234999985667,4.410731372555864,214.59227467805547,730.62109375,48.0
wikitext,baseline,2,2048,256,41.54844294646802,0.06809809999685967,4.369838039222968,216.5075505319133,730.62109375,48.0
wikitext,streaming,0,2048,256,46.26431138833947,0.06932139999844367,4.516122745111465,209.67576673112976,1517.2470703125,12.09375
wikitext,streaming,1,2048,256,46.26431138833947,0.07175940000161063,4.526927843136375,208.78767761201587,1517.2470703125,12.09375
wikitext,streaming,2,2048,256,46.26431138833947,0.07165950000489829,4.539052549008892,208.27944983922936,1517.2470703125,12.09375
wikitext,streaming_snapkv,0,2048,256,54.76207406296231,0.0752370999980485,4.635350980399879,203.6187506144326,1493.9892578125,3.09375
wikitext,streaming_snapkv,1,2048,256,54.76207406296231,0.07383860000118148,4.436872549030894,212.40563402553877,1493.9892578125,3.09375
wikitext,streaming_snapkv,2,2048,256,54.76207406296231,0.07310989999677986,4.537512156849854,208.1003889293472,1493.9892578125,3.09375
wikitext,pyramid_0.3,0,2048,256,45.09019417164648,0.0791324000019813,4.539694117642391,206.99340143834237,1518.0908203125,14.390625
wikitext,pyramid_0.3,1,2048,256,45.09019417164648,0.07614530000137165,4.617879215705519,204.1948481470058,1518.0908203125,14.390625
wikitext,pyramid_0.3,2,2048,256,45.09019417164648,0.07520400000066729,4.539186666678528,207.6747838837499,1518.0908203125,14.390625
wikitext,pyramid_0.5,0,2048,256,44.31087807824913,0.07275790000130655,4.533799607837436,208.3203133137762,1536.9267578125,24.0
wikitext,pyramid_0.5,1,2048,256,44.31087807824913,0.07243759999983013,4.614705882376453,204.93319017800542,1536.9267578125,24.0
wikitext,pyramid_0.5,2,2048,256,44.31087807824913,0.07441370000015013,4.550415686275764,207.32611109577968,1536.9267578125,24.0
wikitext,mix_a,0,2048,256,45.47753838051424,0.09157609999965644,4.641627058827355,200.75423995297422,1884.5205078125,10.8515625
wikitext,mix_a,1,2048,256,45.47753838051424,0.11152239999501035,4.555399215685468,201.0761975116857,1884.5205078125,10.8515625
wikitext,mix_a,2,2048,256,45.47753838051424,0.120173800001794,4.635556862751186,196.58422620404932,1884.5205078125,10.8515625
